type,htemp,ltemp,radth,pressure,maxdays
Bacteria,64.37674593356502,-45.049532163225706,1689.0524183447064,1.7340469284026025,51.166666666666664
Bacteria,26.76421194614739,9.206448618626084,5913.488435682656,1.0992127132342917,51.5
Bacteria,45.39451374430837,-98.93186618485349,341.9131225355873,5.516175758831428,34.833333333333336
Human,35.060593932464116,-6.713927304557686,6121.223559522844,10.034559208858537,84.16666666666667
Bacteria,45.8518492879882,-78.1024371488661,1939.3953524615397,7.726826069002788,51.0
Rat,56.81299959450488,8.159035636385738,2246.139273606182,11.971385849805511,51.166666666666664
Rat,71.39104399635971,-88.05752889991756,1893.2046500002302,10.43884981776511,34.666666666666664
Bacteria,45.687025777318695,2.6210088412156125,2606.747803586184,2.609623199221681,51.166666666666664
Bacteria,62.4958907337759,-83.93150095334468,1272.1631007971107,3.057806812612126,67.5
Human,88.23826910735474,-84.59854003428555,5713.9290097794155,11.04298324470629,34.666666666666664
Bacteria,35.95874742514016,-6.852122947007018,613.227223952641,1.4007481277802978,67.5
Human,81.3140574458876,9.449643392037302,3424.2807782121176,2.045973918881385,51.5
Bacteria,31.602629591162255,8.141908335093376,1178.022912401957,3.042117098228799,67.5
Fish,58.98993240312082,9.803284961344048,830.0013085394879,8.818225156383972,51.333333333333336
Bacteria,31.697952981100787,-1.4598619525930303,3232.8611286449873,3.1667050030590516,67.5
Fish,46.408888843504215,-29.95550794505229,6478.763420890321,9.027603529014536,67.5
Fish,96.05000332307424,-81.97392150260669,6774.489227964333,7.613438580680637,51.166666666666664
Rat,76.02999683352544,-70.10249314586173,7000.330940863218,10.226818190930986,67.66666666666667
Bacteria,36.81550795892048,-18.260262363978214,4753.91505687731,3.016227472975624,18.333333333333332
Fish,38.87464603760183,-6.698674250269065,325.72606507448535,8.815534686062371,51.333333333333336
Rat,66.00085434892526,-91.48632931173444,4008.526283029358,8.057286903229466,51.0
Human,29.545591336641692,-30.538722011459498,859.0716378855843,1.6753484323975143,18.5
Human,24.892630914481913,-92.0929456567524,215.03289779372446,3.934996734535379,51.333333333333336
Human,81.92470163522637,-19.951646321372777,4468.338356307631,4.955542355662372,51.333333333333336
Fish,16.444579376226333,-23.800011604048223,650.9631895423655,9.792780815103093,67.5
Human,26.604384772361144,12.295929989369228,3436.085495831681,9.351308460360999,67.83333333333333
Fish,65.09639144493934,-71.50777631709656,24.757245046196505,11.214368944262365,83.83333333333333
Rat,86.87743940790422,-67.42068797507787,4253.027831518287,6.963777293725145,51.5
Rat,15.847343175166491,-73.81971615846749,7988.0396696976095,6.608555602769616,67.5
Fish,15.232611381480726,10.226471181009444,2176.3966431248473,11.237835570483869,51.0
Human,61.684053301891666,-25.53897331956601,3950.225015718001,11.099058879624108,51.166666666666664
Bacteria,37.975282302029626,-51.502114743494865,1579.0834843216778,3.921539636714971,18.5
Rat,65.58152944515246,2.5913992143763664,3819.5481984761614,2.8302358639817644,67.66666666666667
Rat,75.29049793117987,-12.738493136434812,2925.4659314717483,3.017900213254667,51.333333333333336
Bacteria,76.50537855237957,-26.81989936729829,3554.2167831761617,11.620603415585311,67.66666666666667
Rat,88.8147328136179,-91.72925690004215,479.74828844649846,11.87497217991727,51.0
Bacteria,89.60652537366532,-32.9517986750441,2295.727523385477,10.976475856262132,67.5
Human,35.398634187467394,-34.90327140534825,5302.204814774753,3.983619293494357,84.0
Human,96.97837949924063,-53.001913973020976,2299.5522282741745,3.278246385003181,51.166666666666664
Human,42.194353033943024,-72.94312678956436,2129.388888332715,5.074202222239828,67.5
Bacteria,86.78440527701083,-43.26608831792975,3231.605885212118,2.4788310512870764,51.166666666666664
Rat,70.60021434763908,-54.45196122899655,7313.241432210602,12.75374236843007,51.0
Human,61.86567589236269,-82.52835195306014,2053.0343119547665,5.064230101240861,51.0
Rat,85.94114716742878,-1.5633808599059904,765.6678945252302,10.7793558131429,51.166666666666664
Human,35.08070022423445,-59.21644885902112,758.5671032964767,7.8948372297548,51.333333333333336
Rat,40.5433290848446,-10.240392729984137,2771.3379566198196,2.2036221204395394,18.333333333333332
Human,27.424095794440902,-41.57053534124056,5824.320431435281,2.5267048105839707,34.666666666666664
Fish,79.18438584483577,-49.966814785877105,7586.649762511823,3.774651882412501,67.5
Human,58.04594770503328,-52.82505487452932,7133.975860193865,8.123681547308006,18.333333333333332
Rat,59.21474806760367,-7.758197405462454,5928.193955063961,10.9007312332405,34.833333333333336
Rat,52.046404077453715,-8.680922822899774,5035.854019075731,10.595071855477908,51.166666666666664
Bacteria,24.93538529835501,-37.51581705686464,7214.873847743339,4.215735683647868,34.666666666666664
Bacteria,88.79349495939303,-46.374676533383784,3767.2142283806174,9.423739347017502,67.5
Human,78.587637019374,5.15369703214337,83.44737551081856,9.483268574896968,51.333333333333336
Human,91.01214086197382,10.91661890185074,1658.6410856555271,10.363778487834223,67.5
Bacteria,70.75229044219904,-44.49057128503506,217.9040774174316,9.293204880380337,67.66666666666667
Fish,18.135057753952452,12.960772120925057,6159.196342946641,7.916661142643017,51.333333333333336
Human,53.61346257837097,-26.164485654925528,1798.9957715669216,1.1268075138909608,35.0
Human,26.647954081400496,-90.29391717795309,6417.310412166806,7.440484873303524,34.666666666666664
Human,60.397063670502924,3.1001496939351227,1854.388441422308,1.6735627302743263,34.666666666666664
Fish,65.94279020940391,8.320172782506589,5957.537656671109,5.552219769983694,67.66666666666667
Fish,37.76632001602593,-60.69090133831231,7132.175306423352,10.155739533587726,34.833333333333336
Fish,16.440907877555205,-74.15536735510354,7666.8596750071465,0.8304532492323536,67.66666666666667
Rat,23.258276082098888,3.672114301897153,923.2403347765853,7.855233819228558,34.833333333333336
Bacteria,33.79793631723348,-11.62494968962082,7399.506325980893,4.097225664342163,51.0
Fish,97.75734739825732,-53.26879799261425,6747.636811804056,0.16603481949214927,35.0
Fish,85.73387927649026,-54.04656123747844,597.7456796901442,1.7004915048845426,34.666666666666664
Human,68.28830163514019,-60.255302377404405,4306.301744342274,7.163764585830648,34.833333333333336
Rat,56.19452794792607,-28.944342353488622,2785.1768161904856,10.19080088131291,34.833333333333336
Rat,26.96614685398643,1.0900520581149635,6033.6955053433085,0.14796758531725307,34.666666666666664
Fish,61.10312133940423,-48.658592537890776,7540.115045809402,5.2857696223803,51.166666666666664
